2018-10-25 12:50:23,306 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:50:23,307 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:50:23,308 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:50:38,672 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:50:38,673 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:50:38,677 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:50:38,678 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:50:42,453 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:50:42,453 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:50:42,456 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:50:42,457 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:51:43,751 [Worker-22: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:51:43,752 [Worker-22: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:51:43,753 [Worker-22: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:51:43,754 [Worker-22: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:51:56,893 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:51:56,894 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:51:56,896 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:51:56,896 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:54:09,671 [Worker-21: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
